date,number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,decoration year,district,city,zip code,region,exchange rate,unit price of residence space,unit price of building space,total cost
2014/6/16 0:00,4,2.75,2500,4950,2,0,0,3,2500,0,2010,0,11000 243rd Ave NE,Redmond,WA 98053,USA,6.947727026,38.82831738,0.162210596,
2014/6/16 0:00,4,3.5,2840,4637,3,0,0,3,2840,0,2008,0,546 NE 103rd St,Seattle,WA 98125,USA,6.051139726,39.57557366,0.174075014,
2014/6/16 0:00,2,1.75,1600,4000,1,0,0,5,850,750,1918,0,2505 E Calhoun St,Seattle,WA 98112,USA,7.587800662,56.1527018,0.272779546,
2014/6/16 0:00,4,3.5,2690,6164,2,0,0,3,2690,0,2002,0,1010 274th Way SE,Sammamish,WA 98075,USA,7.034386588,34.80890335,0.949690225,
2014/6/16 0:00,4,3.25,3430,9870,2,0,0,3,3430,0,2014,0,20417 126th Ave NE,Bothell,WA 98011,USA,7.117975562,28.88979422,0.635698194,
2014/6/16 0:00,3,2.5,3100,23790,2,0,0,3,3100,0,2002,0,2328 246th Ave SE,Sammamish,WA 98075,USA,6.632259374,36.8426083,0.015628097,
2014/6/16 0:00,3,1.75,1990,5560,1,0,0,4,1100,890,1939,1989,4811-4815 38th Ave NE,Seattle,WA 98105,USA,7.572158272,48.56589736,0.742999339,
2014/6/16 0:00,3,2.75,2670,3738,1,0,0,3,1720,950,2013,1923,1009-1225 N 41st Pl,Renton,WA 98056,USA,6.542465474,45.30223867,0.304352016,
2014/6/16 0:00,4,2.5,2810,9800,1,0,0,4,1710,1100,1973,0,14312 SE 45th St,Bellevue,WA 98006,USA,7.496549325,38.74829294,0.119176535,
2014/6/16 0:00,4,1.5,1890,6938,1.5,0,0,3,1890,0,1919,2001,1529 45th Ave SW,Seattle,WA 98116,USA,7.345900083,56.6465026,0.756075889,
2014/6/16 0:00,4,3.5,4140,7089,2,0,0,3,3160,980,2003,0,11721 106th Ave NE,Kirkland,WA 98034,USA,6.389491376,31.6325465,0.292310708,
2014/6/16 0:00,4,3.25,3450,6184,2,0,0,3,3450,0,2014,0,120 214th Pl SE,Sammamish,WA 98074,USA,7.08914755,33.9502527,0.514143607,
2014/6/16 0:00,4,2.5,3190,14565,2,0,0,3,3190,0,1990,2009,12623 198th Dr NE,Woodinville,WA 98077,USA,7.096968779,33.92101479,0.909870846,
2014/6/16 0:00,4,3.5,3290,5414,2,0,1,3,2360,930,2006,0,11672 91st Pl NE,Kirkland,WA 98034,USA,7.272743809,36.34659485,0.768848647,
2014/6/16 0:00,4,2.5,3030,8507,2,0,0,3,3030,0,2003,0,6909 123rd Ave NE,Kirkland,WA 98033,USA,6.099300744,48.63496024,0.061346584,
2014/6/16 0:00,4,1.5,2220,9496,1,0,0,4,1490,730,1954,1979,1431 102nd Ave NE,Bellevue,WA 98004,USA,7.543934521,53.49242274,0.350848393,
2014/6/16 0:00,4,3.5,3280,6603,2,0,0,3,3280,0,2007,0,16030 SE 45th Pl,Bellevue,WA 98006,USA,6.188194327,46.43388463,0.50215953,
2014/6/16 0:00,4,2.75,2800,19168,2,0,0,3,2800,0,1992,0,2010 227th Ave SE,Sammamish,WA 98075,USA,6.798164734,48.22225302,0.622345433,
2014/6/16 0:00,4,4,3530,8400,2,0,0,5,2630,900,1958,0,2420 30th Ave W,Seattle,WA 98199,USA,7.391950941,41.09690401,0.364527243,
2014/6/17 0:00,4,1,1920,13787,1,0,0,4,1220,700,1966,0,17104 Military Rd S,SeaTac,WA 98188,USA,6.272888999,11.09030336,0.421220577,
2014/6/17 0:00,3,1,1140,8366,1,0,0,5,1140,0,1943,0,3108 SE 6th St,Renton,WA 98058,USA,7.752364807,17.38217853,0.271467796,
2014/6/17 0:00,3,1.5,1180,7000,1,0,0,4,1180,0,1977,0,34016 33rd Ave SW,Federal Way,WA 98023,USA,6.744702103,22.81186844,0.125941741,
2014/6/17 0:00,3,1.5,1430,7347,1,0,0,3,820,610,1980,0,2711 SW 344th Pl,Federal Way,WA 98023,USA,7.340576374,17.70946576,0.224421221,
2014/6/17 0:00,4,1.75,1740,9344,1,0,0,3,1180,560,1978,0,5108 SW 316th Pl,Federal Way,WA 98023,USA,6.746838933,13.18901776,0.79498051,
2014/6/17 0:00,3,1,1320,7000,1,0,0,4,1320,0,1967,0,1812 33rd St SE,Auburn,WA 98002,USA,6.970649672,21.08999161,0.244813318,
2014/6/17 0:00,1,1,930,7129,1,0,0,3,930,0,1948,1994,2126 N 130th St,Seattle,WA 98133,USA,6.74400386,27.7580519,0.746778503,
2014/6/17 0:00,3,2.25,2110,7665,1,0,0,4,1360,750,1973,0,32744 30th Ave SW,Federal Way,WA 98023,USA,6.557086511,13.83008568,0.675166904,
2014/6/17 0:00,3,2,1410,7466,1,0,0,3,1410,0,1983,2009,14609 SE 195th Pl,Renton,WA 98058,USA,6.809160114,19.57049007,0.827256069,
2014/6/17 0:00,3,2,1570,7000,2,0,2,4,1050,520,1971,0,429 Randolph Ave,Seattle,WA 98122,USA,7.574063298,17.80870577,0.403602403,
