date,number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,decoration year,district,city,zip code,region,exchange rate,unit price of residence space,unit price of building space,total cost
2014/5/19 0:00,3,2.5,1720,1916,2,0,0,3,1720,0,2005,0,454 A St,Renton,WA 98056,USA,7.04878374,22.22282734,0.782829872,
2014/5/19 0:00,3,2.5,1270,9675,2,0,0,3,1270,0,1993,0,44633 SE 151st St,North Bend,WA 98045,USA,7.281522078,28.10993871,0.284638405,
2014/5/19 0:00,4,1.75,2080,13629,1,0,0,4,1040,1040,1955,2009,8024 S 130th St,Seattle,WA 98178,USA,7.751553831,17.52737443,0.022737046,
2014/5/19 0:00,1,1.5,810,3211,2,0,0,4,810,0,1982,2011,11807 NE 105th Ct,Kirkland,WA 98033,USA,7.084278179,45.78609135,0.978883169,
2014/5/19 0:00,5,1.5,2120,7700,1.5,0,0,5,2120,0,1962,0,12611 SE 160th St,Renton,WA 98058,USA,6.070716495,21.90639717,0.172564486,
2014/5/19 0:00,4,2.5,1700,7280,2,0,0,4,1700,0,1988,0,22020 127th Ct SE,Kent,WA 98031,USA,7.095172391,23.42139389,0.145122541,
2014/5/19 0:00,3,2.75,2170,7900,1,0,0,4,1380,790,1978,2000,26715 Stanford Ct,Kent,WA 98032,USA,7.053220241,19.18659513,0.05096514,
2014/5/19 0:00,5,3,2100,9752,1,0,0,3,1200,900,2007,0,29801-29829 23rd Avenue South,Federal Way,WA 98003,USA,7.22306782,18.20730858,0.316207997,
2014/5/19 0:00,3,1.75,1610,12247,1,0,0,3,1610,0,1981,2013,16215 SE 172nd Ct,Renton,WA 98058,USA,6.521879039,22.12261751,0.910284088,
2014/5/19 0:00,3,1,1370,7500,1,0,0,3,1370,0,1960,2012,4751 Stephens Ave,Carnation,WA 98014,USA,6.723449002,32.59518811,0.134090774,
2014/5/19 0:00,4,1.75,2310,8045,1,0,0,4,1650,660,1976,1992,16336 131st Ave SE,Renton,WA 98058,USA,7.92802227,15.58499213,0.541394341,
2014/5/19 0:00,3,2.5,2680,7757,2,0,0,3,2680,0,1990,2009,833 SW 346th St,Federal Way,WA 98023,USA,7.611966622,15.44079609,0.084792674,
2014/5/19 0:00,4,2,1580,7800,2,0,0,2,1580,0,1906,0,2023 24th Ave S,Seattle,WA 98144,USA,7.033969127,29.28457747,0.137443538,
2014/5/19 0:00,4,2.5,1830,8601,2,0,0,3,1830,0,2003,0,27305 245th Ave SE,Maple Valley,WA 98038,USA,6.214155035,27.57385554,0.475841843,
2014/5/19 0:00,3,2.25,1640,7200,2,0,0,4,1640,0,1985,0,1755 140th Ct SE,Bellevue,WA 98007,USA,6.259892344,32.0218098,0.471630083,
2014/5/19 0:00,4,2.75,2070,9300,1,0,0,5,1120,950,1945,0,15511 9th Ave NE,Shoreline,WA 98155,USA,7.47764926,22.72855492,0.211249544,
2014/5/19 0:00,2,1.5,1660,4680,1,0,0,5,830,830,1908,0,10010 44th Ave SW,Seattle,WA 98146,USA,6.469611857,33.28904675,0.346472811,
2014/5/19 0:00,3,2.5,1670,3565,2,0,0,3,1670,0,1999,0,18581 134th Pl NE,Woodinville,WA 98072,USA,7.895449667,26.25751292,0.951572094,
2014/5/19 0:00,3,2.5,1690,1613,2,0,0,3,1150,540,2014,0,2500 Mulberry Walk NE,Issaquah,WA 98029,USA,6.475444985,34.96864565,0.374494567,
2014/5/19 0:00,4,2.5,2490,8290,2,0,0,3,2490,0,1999,0,30271 129th Ave SE,Auburn,WA 98092,USA,6.793868214,19.81216752,0.973752447,
2014/5/19 0:00,4,2.75,2500,5257,2,0,0,3,2500,0,1966,1963,8309 36th Ave S,Seattle,WA 98118,USA,6.310767306,24.46866507,0.752353933,
2014/5/19 0:00,3,2.5,1920,15124,2,0,0,3,1920,0,1995,0,714 NE 10th St,North Bend,WA 98045,USA,7.771199498,22.74982616,0.761978767,
2014/5/19 0:00,3,2.5,2200,3360,2,0,0,3,2200,0,2009,0,6729 37th Ave S,Seattle,WA 98118,USA,6.865870453,28.65589501,0.028398827,
2014/5/19 0:00,2,1.5,1010,1968,1.5,0,0,5,1010,0,1906,0,6411 22nd Ave NW,Seattle,WA 98107,USA,7.523811231,56.94611501,0.490560581,
2014/5/19 0:00,3,1.75,1800,10200,1,0,0,3,1800,0,1967,2011,17110-17116 146th Ave SE,Renton,WA 98058,USA,6.755536385,36.16191767,0.040233216,
