date,number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,decoration year,district,city,zip code,region,exchange rate,unit price of residence space,unit price of building space,total cost
2014/6/26 0:00,3,1.5,2450,12497,1,0,0,4,2450,0,1967,0,7670 10th Ave NW,Snoqualmie,WA 98065,USA,6.578544955,17.51057858,0.921694097,
2014/6/26 0:00,5,1.75,1940,6654,1.5,0,0,4,1940,0,1953,1983,15212 20th Ave SW,Burien,WA 98166,USA,7.426030761,22.87791052,0.595177452,
2014/6/26 0:00,5,2,2280,19000,1.5,0,0,3,2280,0,1924,2011,14937 20th Ave SW,Burien,WA 98166,USA,6.428344667,18.9597146,0.713243755,
2014/6/26 0:00,3,1.5,2380,14500,1,0,0,4,1850,530,1961,2001,6340 NE 196th St,Kenmore,WA 98028,USA,6.456990503,22.80217207,0.209177067,
2014/6/26 0:00,4,2.5,3200,22651,1,0,0,5,1610,1590,1970,0,23310 118th Pl SE,Kent,WA 98031,USA,7.063384481,16.90834354,0.017648176,
2014/6/26 0:00,3,3.25,1370,913,2,0,0,3,1100,270,2006,0,4438 44th Ave SW,Seattle,WA 98116,USA,6.891741688,40.82709364,0.718894129,
2014/6/26 0:00,4,3,3060,5000,2,0,0,3,3060,0,2001,0,16126 SE 249th Pl,Covington,WA 98042,USA,6.100858919,21.34014916,0.019954159,
2014/6/26 0:00,4,2.5,2220,4652,2,0,0,3,2220,0,2001,0,4839 NE 5th St,Renton,WA 98059,USA,7.35890617,22.72314263,0.986667355,
2014/6/26 0:00,4,2.75,4230,31747,2,0,0,4,4230,0,1985,0,14323-14347 155th Ave NE,Woodinville,WA 98072,USA,7.310868639,10.94353118,0.287363686,
2014/6/26 0:00,3,2.5,2490,4540,2.5,0,0,3,2490,0,2012,1912,4724 NE 14th St,Renton,WA 98059,USA,6.973717408,23.50464153,0.184845312,
2014/6/26 0:00,3,1,1170,6700,1,0,0,3,1170,0,1957,2000,3510 NE 115th St,Seattle,WA 98125,USA,6.679633405,50.65804248,0.426753495,
