date,number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,decoration year,district,city,zip code,region,exchange rate,unit price of residence space,unit price of building space,total cost
2014/6/2 0:00,5,3.25,3160,13238,2,0,0,5,3160,0,1972,0,7325 86th Ave SE,Mercer Island,WA 98040,USA,7.160657447,51.06271482,0.997642984,
2014/6/3 0:00,3,1,1200,9936,1,0,0,4,1200,0,1969,0,23414 SE 269th St,Maple Valley,WA 98038,USA,6.81714305,13.13550118,0.01295376,
2014/6/3 0:00,3,1,1040,6860,2,0,0,3,1040,0,1942,1999,10120-10198 34th Ave SW,Seattle,WA 98146,USA,7.881032768,14.52238234,0.547187355,
2014/6/3 0:00,2,2.5,1240,2689,2,0,0,3,1240,0,1986,0,829 S 310th Pl,Federal Way,WA 98003,USA,7.619634424,17.51198178,0.441243501,
2014/6/3 0:00,3,1.5,1180,9048,1,0,0,3,1180,0,1960,2012,454 S 190th St,Burien,WA 98148,USA,7.178396452,18.81872297,0.517256232,
2014/6/3 0:00,3,1,1060,9600,1,0,0,4,1060,0,1962,0,35014 19th Ave SW,Federal Way,WA 98023,USA,7.844819923,18.74863151,0.665189262,
2014/6/3 0:00,3,1,1110,7962,1,0,0,3,1110,0,1962,2003,11048 21st Ave SW,Seattle,WA 98146,USA,6.602250517,23.21903532,0.757875748,
2014/6/3 0:00,3,2,1200,9566,1,0,0,3,1200,0,1995,0,124 Mt Vista Pl SW,Pacific,WA 98047,USA,6.02619574,24.58914088,0.773423545,
2014/6/3 0:00,3,1,1030,9120,1,0,0,3,1030,0,1961,2004,26825 33rd Ave S,Kent,WA 98032,USA,7.319767476,25.44510823,0.466774907,
2014/6/3 0:00,3,2,1440,5600,1,0,0,4,720,720,1942,2007,2508 NE 7th St,Renton,WA 98056,USA,6.465372847,24.62776838,0.019668098,
2014/6/3 0:00,2,1,940,5375,1,0,0,4,940,0,1952,0,20214 8th Ave S,Des Moines,WA 98198,USA,6.893624732,35.56775103,0.095017769,
2014/6/3 0:00,3,1,1250,15603,1,0,0,4,1250,0,1959,0,12522 SE 105th St,Renton,WA 98056,USA,6.543088884,20.2836889,0.676866458,
2014/6/3 0:00,3,2,1530,8700,1,0,0,4,1530,0,1970,0,2925 Morris Ave S,Renton,WA 98055,USA,6.625480528,21.17693479,0.352691404,
2014/6/3 0:00,2,1,720,4840,1,0,0,4,720,0,1947,1988,5403 34th Ave SW,Seattle,WA 98126,USA,7.44052154,38.73779041,0.762933553,
2014/6/3 0:00,3,1.75,1340,16480,1,0,0,4,1340,0,1968,0,26510 134th Ave SE,Kent,WA 98042,USA,7.483188433,11.91527652,0.969161838,
2014/6/3 0:00,3,2.25,1765,7652,2,0,0,3,1765,0,1996,0,33015 4th Pl S,Federal Way,WA 98003,USA,7.733428512,16.90189958,0.326102403,
2014/6/3 0:00,2,1.75,1220,5000,1,0,0,5,860,360,1921,0,506 Wells Ave N,Renton,WA 98057,USA,7.073698912,25.74317932,0.871923188,
2014/6/3 0:00,3,1.75,1970,10270,1,0,0,4,1970,0,1966,0,3644 Manchester Way,Kent,WA 98032,USA,7.823247916,15.89486646,0.286658691,
2014/6/3 0:00,3,1.75,1590,27200,1.5,0,0,4,1590,0,1926,1993,19827 SE Maple Valley Hwy,Maple Valley,WA 98038,USA,6.011943125,17.3051994,0.634565801,
2014/6/3 0:00,3,2,1410,7622,1,0,0,4,1410,0,1983,0,14608 SE 195th Pl,Renton,WA 98058,USA,6.467245957,29.28697993,0.110306879,
2014/6/3 0:00,2,1.5,1480,15641,1,0,0,4,1480,0,1940,2001,11405 26th Ave SW,Seattle,WA 98146,USA,7.231595142,19.66411005,0.614800769,
2014/6/3 0:00,2,1,1170,10621,1,0,0,3,1170,0,1963,2008,507 Janet Ave NE,North Bend,WA 98045,USA,7.148993257,32.55351797,0.299118295,
2014/6/3 0:00,5,2.75,2481,4045,2,0,0,3,2481,0,2014,0,38071 39th Ave S,Auburn,WA 98001,USA,6.4166899,18.63866698,0.472963418,
2014/6/3 0:00,4,2.5,1830,5175,2,0,0,3,1830,0,2003,0,27369 245th Ave SE,Maple Valley,WA 98038,USA,6.655577606,23.85618861,0.622444397,
2014/6/3 0:00,3,2.25,1540,5338,1,0,0,5,770,770,1954,0,9014 Ravenna Ave NE,Seattle,WA 98115,USA,6.62307014,30.24054597,0.100715883,
2014/6/3 0:00,3,2,1880,10758,1,0,0,5,940,940,1952,1998,14712 SE 105th Pl,Renton,WA 98059,USA,7.609372468,22.10626341,0.045884631,
2014/6/3 0:00,3,3.25,1530,1602,2,0,0,3,1140,390,2013,1923,5201 23rd Ave SW,Seattle,WA 98106,USA,7.945124665,25.76355736,0.535598615,
2014/6/3 0:00,3,1.75,2250,26337,1,0,0,3,2250,0,1980,0,33316 E Lake Holm Dr SE,Auburn,WA 98092,USA,6.539760215,11.56278156,0.899105941,
2014/6/3 0:00,3,2.5,1950,8130,2,0,0,4,1950,0,1990,0,23915 135th Pl SE,Kent,WA 98042,USA,6.130995384,27.17603862,0.072193283,
2014/6/3 0:00,5,2.75,2670,3800,2,0,0,3,2670,0,2014,0,16301 SE 139th Ct,Renton,WA 98059,USA,7.03230385,17.66818259,0.352674376,
2014/6/3 0:00,4,2.5,2240,3712,2,0,0,3,2240,0,2014,0,27433-27475 211th Ct SE,Maple Valley,WA 98038,USA,7.297170863,20.81473609,0.877146153,
2014/6/3 0:00,6,1.5,2550,33740,1,0,0,4,1750,800,1958,1972,31207 22nd Ave SW,Federal Way,WA 98023,USA,7.998810735,14.18098664,0.321072027,
2014/6/3 0:00,3,2,1080,7236,1,0,0,5,1080,0,1947,0,808 NE 117th St,Seattle,WA 98125,USA,6.407981881,50.66669021,0.848752056,
2014/6/3 0:00,3,1.5,1200,4800,1,0,0,4,1200,0,1962,0,15226 SE 1st Pl,Bellevue,WA 98007,USA,7.68576989,41.23009604,0.535024559,
2014/6/3 0:00,3,2.25,1450,4706,2,0,0,3,1450,0,2009,0,8018 NE 183rd St,Kenmore,WA 98028,USA,6.319729943,42.47715776,0.361658535,
